		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
1.per	Year/Quarter = 1, 1st quarter of 2005	-0.06124***	-0.06608***	0.1267***	0.1278***	-0.03256*	-0.03712**	0.1326***	0.1339***	-0.08200***	-0.08734***	0.1246***	0.1265***	0.0476***	0.0452***	0.0477***
		(0.01846)	(0.01807)	(0.0131)	(0.0131)	(0.01837)	(0.01828)	(0.0130)	(0.0130)	(0.01847)	(0.01841)	(0.0132)	(0.0130)	(0.0091)	(0.0090)	(0.0091)
2.per	Year/Quarter = 2, 1st quarter of 2010	-0.02375*	-0.02396*	0.0367***	0.0365***	0.00137	-0.00207	0.0375***	0.0388***	-0.04407***	-0.04448***	0.0396***	0.0392***	0.0259***	0.0289***	0.0254***
		(0.01346)	(0.01316)	(0.0114)	(0.0114)	(0.01372)	(0.01370)	(0.0115)	(0.0115)	(0.01362)	(0.01349)	(0.0113)	(0.0113)	(0.0081)	(0.0080)	(0.0081)
3.per	Year/Quarter = 3, 1st quarter of 2015	-0.02820***	-0.02719***	0.0066	0.0059	-0.01588	-0.01696*	0.0081	0.0079	-0.04137***	-0.04030***	0.0095	0.0086	-0.0017	0.0008	-0.0027
		(0.00971)	(0.00959)	(0.0115)	(0.0115)	(0.01005)	(0.01000)	(0.0116)	(0.0116)	(0.00965)	(0.00965)	(0.0116)	(0.0116)	(0.0072)	(0.0072)	(0.0072)
sde_mun_indu	% of industrial jobs at the municipal level					0.00262***	0.00696***	-0.0009	-0.0052***						-0.0011	
						(0.00055)	(0.00156)	(0.0006)	(0.0017)						(0.0007)	
c.sde_mun_indu#c.sde_mun_indu							-0.00007***		0.0001***							
							(0.00002)		(0.0000)							
sde_mun_serv	% of service jobs at the municipal level									0.00493***	0.01135***	-0.0032***	-0.0070***			-0.0080***
										(0.00053)	(0.00163)	(0.0004)	(0.0015)			(0.0004)
c.sde_mun_serv#c.sde_mun_serv											-0.00006***		0.0000***			
											(0.00001)		(0.0000)			
1.female	Female Identificator = 1, Women													-0.9725***	-1.2599***	-2.0639***
														(0.0121)	(0.0365)	(0.0334)
0b.female#co.sde_mun_agri														0.0000		
														(0.0000)		
1.female#c.sde_mun_agri														-0.0141***		
														(0.0005)		
0b.female#co.sde_mun_indu															0.0000	
															(0.0000)	
1.female#c.sde_mun_indu															0.0040***	
															(0.0011)	
0b.female#co.sde_mun_serv																0.0000
																(0.0000)
1.female#c.sde_mun_serv																0.0148***
																(0.0005)
Constant	Constant	-3.41488***	-3.35691***	-1.7745***	-1.7648***	-3.15267***	-3.19815***	-1.6822***	-1.6413***	-3.52662***	-3.63896***	-1.5109***	-1.4583***	-2.5250***	-2.4054***	-1.9562***
		(0.17042)	(0.16885)	(0.0676)	(0.0675)	(0.17597)	(0.17660)	(0.0681)	(0.0690)	(0.18304)	(0.18501)	(0.0698)	(0.0720)	(0.0482)	(0.0559)	(0.0531)
																
Observations		612,079	612,079	550,186	550,186	612,079	612,079	550,186	550,186	612,079	612,079	550,186	550,186	1,162,897	1,162,897	1,162,897
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
